tweet_id,text,rating_numerator,rating_denominator,p1,p1_conf,retweet_cnt,like_cnt
671497587707535361,this is pip he is a ship captain many years of experience sailing the treacherous open sea 11/10 ,11,10,,,430.0,888.0
671488513339211776,this is julius hes a cool dog carries seashell everywhere rad segmented legs currently attacking castle 8/10 ,8,10,,,459.0,972.0
671486386088865792,this is malcolm he just saw a spider 10/10 ,10,10,German_shepherd,0.8270350000000001,189.0,562.0
671485057807351808,meet penelope she is a white macadamias duodenum very excited about wall lives on frosted flakes 11/10 good pup ,11,10,Samoyed,0.627901,227.0,735.0
671390180817915904,striped dog here having fun playing on back sturdy paws looks like an organized dalmatian 7/10 would still pet ,7,10,,,717.0,1399.0
671362598324076544,this is tanner he accidentally dropped all his hardearned kohls cash in the tub 11/10 ,11,10,,,287.0,1072.0
671357843010908160,tfw she says hello from the other side 9/10 ,9,10,Italian_greyhound,0.831757,147.0,388.0
671355857343524864,this is lou hes a petrarch sunni pinto wellbehaved pup little legs just hang there 10/10 would pet firmly ,10,10,miniature_poodle,0.313811,113.0,471.0
671347597085433856,this is lola she was not fully prepared for the water slide 9/10 ,9,10,,,413.0,926.0
671186162933985280,this is sparky thats his pancake now he will raise it as his own 10/10 ,10,10,Chihuahua,0.319106,204.0,710.0
671182547775299584,this pup holds the secrets of the universe in his left eye 12/10 ,12,10,Rottweiler,0.331179,324.0,1084.0
671166507850801152,this is herm its his first day of potty training hes doing great you got this herm 10/10 stellar pup ,10,10,,,329.0,848.0
671163268581498880,pack of horned dogs here very teamoriented bunch all have weird laughs bond between them strong 8/10 for all ,8,10,,,1056.0,1600.0
671159727754231808,this is anthony he just finished up his masters at harvard unprofessional tattoos always looks perturbed 5/10 ,5,10,,,78.0,358.0
671154572044468225,meet holly shes trying to teach small humanlike pup about blocks but hes not paying attention smh 11/10 amp 8/10 ,11,10,Labrador_retriever,0.495047,210.0,687.0
671151324042559489,struggling to breathe properly 12/10 ,12,10,Rottweiler,0.781201,148.0,647.0
671147085991960577,this is a helvetica listerine named rufus this time rufus will be ready for the ups guy hell never expect it 9/10 ,9,10,Yorkshire_terrier,0.4672020000000001,206.0,647.0
671141549288370177,neat pup here enjoys lettuce long af ears short lil legs hops surprisingly high for dog 9/10 still very petable ,9,10,,,632.0,1112.0
671138694582165504,me running from commitment 10/10 ,10,10,Samoyed,0.587342,386.0,894.0
671134062904504320,say hello to clarence hes a western alkaline pita very proud of himself for dismembering his stuffed dog pal 8/10 ,8,10,Shih-Tzu,0.18038,184.0,722.0
671122204919246848,two miniature golden retrievers here webbed paws dont walk very efficiently cant catch a tennis ball 4/10s ,4,10,,,2422.0,3377.0
671115716440031232,meet phred he isnt steering looking at the road or wearing a seatbelt phred is a rolling tornado of danger 6/10 ,6,10,malinois,0.406341,749.0,1329.0
671109016219725825,this is toby he asked for chocolate cake for his birthday but was given vanilla instead 8/10 itll be ok toby ,8,10,basenji,0.855959,418.0,1110.0
670995969505435648,yea i cant handle this job anymore your dogs are too adorable 12/10 ,12,10,redbone,0.8662209999999999,283.0,1080.0
670842764863651840,after so many requests here you gogood dogg 420/10 ,420,10,,,8368.0,23873.0
670840546554966016,meet colby hes that one cool friend that gets you into every party great hat sneaky tongue slip 10/10 good pup ,10,10,Shih-Tzu,0.963622,185.0,568.0
